instance,alphabet_observed,fixed_identity_symbols,rules_to_infer,m,lengths,k,vertices_unpruned,vertices_pruned,max_clique_pruned,empty_domains,status,valid,time_ms,search_nodes,compatible_count,generating_rules_recovered,alternative_rule_symbols
010_algae,2,0,2,2,1-2-3,3,9,9,4,0,success,True,0.1779999874997884,11,,2/2,
011_cantordust,2,0,2,2,1-3-9,4,76,76,55,0,success,True,0.024399982066825032,12,,2/2,
012_kochcurve,3,2,1,1,1-9,1,1,1,1,0,success,True,0.015099998563528061,13,,1/1,
013_dragoncurve,5,3,2,2,2-6-14,8,524,258,120,0,success,True,0.025699991965666413,20,,2/2,
014_fractalplant,6,4,2,2,1-18-89,19,65701,20811,4095,0,success,True,0.04499999340623617,42,,2/2,
015_pythagorastree,4,2,2,2,1-5-14,6,391,157,120,0,success,True,0.019400002202019095,16,,2/2,
016_sierpenskitriangle,4,2,2,2,1-7-25,8,1808,1072,351,0,success,True,0.0295999925583601,24,,2/2,
017_sierpenskitriangle2,4,2,2,1,3-13,3,133,133,105,0,success,True,0.08129997877404094,118,,2/2,
018_gospercurve1,4,2,2,2,1-15-113,16,85444,39670,6555,0,success,True,0.04159999662078917,45,,2/2,
020_ecurve,4,2,2,2,1-43-1093,44,24559754,14380234,598965,0,success,True,0.20179999410174787,110,,2/2,
021_peano,5,3,2,2,1-97-2497,98,296523842,71838698,3121251,0,success,True,0.39480000850744545,272,,2/2,
022_appletwig,25,17,9,4,21-105-1123-4380-11505,5629,300648083462,31229645212,66199771,0,success,True,6.442900019465014,5753,,7/9,WC
024_bushlike_simplified,17,13,4,3,1-35-221-800,257,71161915,10843756,321201,0,success,True,1.094500010367483,1491,,4/4,
025_aphanocladia,11,7,4,3,1-2-16-138,19,136533,58751,9730,0,success,True,0.06269998266361654,34,,4/4,
026_dipterosiphoniaV1,34,6,28,9,4-5-20-42-64-102-164-248-361-482,1010,64975391,8211001,116886,0,success,True,1.0879999899771065,1121,,22/28,lmstab
027_dipterosiphoniaV2,12,7,5,3,1-5-27-173,33,382248,138092,15225,0,success,True,0.10390000534243882,57,,5/5,
028_ditira_reptans,10,6,4,3,1-2-15-60,18,24738,13412,1891,0,success,True,0.04149999585933983,27,,4/4,
029_ditira_zonaricola,11,7,4,3,1-2-17-117,20,105588,49468,7021,0,success,True,0.06389999180100858,33,,4/4,
030_herpopteros,11,7,4,3,1-2-15-189,18,236298,91226,18145,0,success,True,0.072900002123788,39,,4/4,
031_herposiphonia,13,8,5,3,1-6-49-330,56,2588325,992573,54946,0,success,True,0.1441999920643866,81,,5/5,
032_metamorphe,11,6,5,3,1-2-26-290,29,1020301,510709,42486,0,success,True,0.11569997877813876,54,,5/5,
034_tenuissimum,37,6,31,13,4-5-20-47-76-115-170-245-336-442-556-676-792-918,3484,795796889,45496914,422740,0,success,True,3.356600005645305,3673,,25/31,BCJKab
